Location,Last location,Next location,FullEmpty,With customer,ContainerType,ContainerSize,Owner,count
ES ALG,,,Empty,False,22G1,20.0,ONEWAY,1
ES ALG,,,Empty,True,22G1,20.0,CARRIER,1
ES BIO,,,Empty,False,22G1,20.0,CARRIER,2
ES BIO,,,Empty,False,45G1,40.0,CARRIER,1
ES BIO,,,Empty,True,22G1,20.0,CARRIER,1
ES BIO,,,Full,False,22G1,20.0,CARRIER,1
ES LPA,,,Empty,False,45R1,40.0,CARRIER,1
ES SCT,,,Empty,False,45R1,40.0,CARRIER,1
ES VGO,,,Empty,False,22G1,20.0,CARRIER,1
ES VGO,,,Empty,False,45R1,40.0,CARRIER,1
ES VGO,,,Full,False,45R1,40.0,CARRIER,1
FI HEL,,,Empty,False,22G1,20.0,CARRIER,1
FI HEL,,,Empty,False,45G1,40.0,CARRIER,1
FI HEL,,,Empty,False,45R1,40.0,CARRIER,1
FI HEL,,,Full,False,22G1,20.0,CARRIER,1
FI KTK,,,Empty,False,22G1,20.0,CARRIER,1
FO KVI,,,Empty,False,22G1,20.0,CARRIER,1
FO KVI,,,Full,False,45G1,40.0,CARRIER,4
FO THO,,,Empty,False,22G1,20.0,CARRIER,1
FO THO,,,Empty,False,22G1,20.0,SHIPPER,1
FO THO,,,Empty,False,22K0,20.0,SHIPPER,1
FO THO,,,Empty,False,22R1,20.0,CARRIER,1
FO THO,,,Empty,False,22R1,20.0,ONEWAY,1
FO THO,,,Empty,False,22U1,20.0,CARRIER,1
FO THO,,,Empty,False,25G1,20.0,CARRIER,1
FO THO,,,Empty,False,42G1,40.0,SHIPPER,1
FO THO,,,Empty,False,42P3,40.0,CARRIER,2
FO THO,,,Empty,False,42P3,40.0,SHIPPER,1
FO THO,,,Empty,False,42U1,40.0,CARRIER,1
FO THO,,,Empty,False,45G1,40.0,CARRIER,1
FO THO,,,Empty,False,45G1,40.0,ONEWAY,1
FO THO,,,Empty,False,45H5,40.0,CARRIER,1
FO THO,,,Empty,False,45P3,40.0,CARRIER,1
FO THO,,,Empty,False,45R1,40.0,CARRIER,8
FO THO,,,Empty,False,45R1,40.0,ONEWAY,3
FO THO,,,Empty,False,45RB,40.0,CARRIER,1
FO THO,,,Empty,False,45U1,40.0,CARRIER,1
FO THO,,,Empty,False,4EG1,40.0,CARRIER,2
FO THO,,,Empty,False,LNRB,45.0,CARRIER,2
FO THO,,,Empty,True,22G1,20.0,CARRIER,1
FO THO,,,Empty,True,22G1,20.0,SHIPPER,1
FO THO,,,Empty,True,22GB,20.0,CARRIER,1
FO THO,,,Empty,True,22R1,20.0,CARRIER,1
FO THO,,,Empty,True,22U1,20.0,CARRIER,1
FO THO,,,Empty,True,22U1,20.0,SHIPPER,1
FO THO,,,Empty,True,42G1,40.0,SHIPPER,1
FO THO,,,Empty,True,42U1,40.0,CARRIER,1
FO THO,,,Empty,True,45G1,40.0,CARRIER,1
FO THO,,,Empty,True,45G1,40.0,ONEWAY,1
FO THO,,,Empty,True,45G1,40.0,SHIPPER,1
FO THO,,,Empty,True,45R1,40.0,CARRIER,1
FO THO,,,Empty,True,45R1,40.0,ONEWAY,1
FO THO,,,Empty,True,45RB,40.0,CARRIER,1
FO THO,,,Empty,True,45U1,40.0,CARRIER,1
FO THO,,,Empty,True,4EG1,40.0,CARRIER,1
FO THO,,,Empty,True,LNRB,45.0,CARRIER,1
FO THO,,,Full,False,22B0,20.0,CARRIER,2
FO THO,,,Full,False,22G1,20.0,CARRIER,1
FO THO,,,Full,False,22G1,20.0,SHIPPER,1
FO THO,,,Full,False,22GB,20.0,CARRIER,1
FO THO,,,Full,False,22K0,20.0,SHIPPER,3
FO THO,,,Full,False,22R1,20.0,CARRIER,1
FO THO,,,Full,False,22U1,20.0,CARRIER,1
FO THO,,,Full,False,25G2,20.0,SHIPPER,1
FO THO,,,Full,False,42G1,40.0,CARRIER,1
FO THO,,,Full,False,42G1,40.0,SHIPPER,1
FO THO,,,Full,False,42P3,40.0,CARRIER,8
FO THO,,,Full,False,42P3,40.0,ONEWAY,1
FO THO,,,Full,False,42P3,40.0,SHIPPER,1
FO THO,,,Full,False,42U1,40.0,CARRIER,1
FO THO,,,Full,False,45G1,40.0,CARRIER,7
FO THO,,,Full,False,45G1,40.0,ONEWAY,1
FO THO,,,Full,False,45G1,40.0,SHIPPER,1
FO THO,,,Full,False,45GB,40.0,CARRIER,1
FO THO,,,Full,False,45P3,40.0,CARRIER,1
FO THO,,,Full,False,45R1,40.0,CARRIER,5
FO THO,,,Full,False,45R1,40.0,ONEWAY,1
FO THO,,,Full,False,45U1,40.0,CARRIER,1
FO THO,,,Full,False,45U1,40.0,ONEWAY,1
FO THO,,,Full,False,4EG1,40.0,CARRIER,2
FO THO,,,Full,False,4EG1,40.0,SHIPPER,1
FO THO,,,Full,False,55P3,45.0,CARRIER,1
FO THO,,,Full,False,LEG2,45.0,CARRIER,1
FO THO,,,Full,False,LEG2,45.0,SHIPPER,1
FO THO,,,Full,False,LNRB,45.0,CARRIER,1
FO THO,,,Full,True,22G1,20.0,CARRIER,2
