Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,ContractType,Count,Truncated,FinalDestination,Commodity
2025,3,NL RTM,403,IS GRT,536,22G1,20.0,CARRIER,CABOTAGE,1,False,IS GRT,k224_22G1_20_CARRIER
2025,3,NL RTM,403,IS GRT,536,22G1,20.0,CARRIER,LONG,2,False,IS GRT,k225_22G1_20_CARRIER
2025,3,NL RTM,403,IS GRT,536,22G1,20.0,LEASED,MASTER,1,False,IS GRT,k226_22G1_20_LEASED
2025,3,NL RTM,403,IS REY,492,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,US PWM,k227_45G1_40_CARRIER
2025,3,NL RTM,403,IS REY,492,45G1,40.0,CARRIER,LONG,8,False,IS REY,k228_45G1_40_CARRIER
2025,3,NL RTM,403,IS REY,492,42P3,40.0,CARRIER,LONG,1,False,IS REY,k229_42P3_40_CARRIER
2025,3,NL RTM,403,IS REY,492,45G1,40.0,CARRIER,LONG,1,False,IS REY,k230_45G1_40_CARRIER
2025,3,NL RTM,403,IS REY,492,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,FO THO,k231_45R1_40_CARRIER
2025,3,NL RTM,403,IS REY,492,4EG1,40.0,LEASED,ONEWAY,1,False,IS REY,k232_4EG1_40_LEASED
2025,3,NL RTM,403,IS REY,492,45G1,40.0,LEASED,ONEWAY,1,False,IS REY,k233_45G1_40_LEASED
2025,3,NL RTM,403,IS REY,492,45G1,40.0,LEASED,PURCHASE,1,True,US PWM,k234_45G1_40_LEASED
2025,3,NL RTM,403,IS REY,492,22G1,20.0,LEASED,MASTER,1,False,IS REY,k235_22G1_20_LEASED
2025,3,NL RTM,403,IS REY,492,22G1,20.0,LEASED,,1,False,IS REY,k236_22G1_20_LEASED
2025,3,NO FRK,403,FO THO,496,45G1,40.0,CARRIER,CABOTAGE,1,False,FO THO,k237_45G1_40_CARRIER
2025,3,NO FRK,403,FO THO,496,45P3,40.0,CARRIER,LONG,1,False,FO THO,k238_45P3_40_CARRIER
2025,3,NO FRK,403,IS REY,540,45G1,40.0,CARRIER,CABOTAGE,1,True,IS GRT,k239_45G1_40_CARRIER
2025,3,NO FRK,403,IS REY,540,45G1,40.0,CARRIER,CABOTAGE,1,False,IS REY,k240_45G1_40_CARRIER
2025,3,NO FRK,403,IS REY,540,22G1,20.0,CARRIER,LONG,1,True,IS VES,k241_22G1_20_CARRIER
2025,3,NO FRK,403,IS REY,540,42P3,40.0,CARRIER,LONG,1,True,CA NWP,k242_42P3_40_CARRIER
2025,3,NO FRK,403,IS REY,540,22G1,20.0,CARRIER,LONG,1,False,IS REY,k243_22G1_20_CARRIER
2025,3,NO FRK,403,IS REY,540,22K2,20.0,SHIPPER,,1,True,NL RTM,k244_22K2_20_SHIPPER
2025,3,NO FRK,403,IS REY,540,22K0,20.0,SHIPPER,,1,False,IS REY,k245_22K0_20_SHIPPER
2025,3,NO FRK,403,IS REY,540,22K0,20.0,SHIPPER,,1,True,NL RTM,k246_22K0_20_SHIPPER
2025,3,SE HEL,406,IS REY,508,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,US PWM,k247_45G1_40_CARRIER
2025,3,SE HEL,406,IS REY,508,42G1,40.0,CARRIER,CABOTAGE,1,False,IS REY,k248_42G1_40_CARRIER
